Name der Zeitung,Datum der Ausgabe,Nummer der Ausgabe,Jahrgang,Seitenzahl,Dateiname des Scans im Ordner Mediendateien,Dateiname der zugehörigen ALTO-XML-Datei im Ordner OCR/Alto-XML
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-04,3,8,4,vw-1891-01-04-3-004.jpg,ALTO_1.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-04,3,8,8,vw-1891-01-04-3-008.jpg,ALTO_2.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-04,3,8,10,vw-1891-01-04-3-010.jpg,ALTO_3.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-11,9,8,4,vw-1891-01-11-9-004.jpg,ALTO_4.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-11,9,8,7,vw-1891-01-11-9-007.jpg,ALTO_5.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-11,9,8,8,vw-1891-01-11-9-008.jpg,ALTO_6.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-11,9,8,10,vw-1891-01-11-9-010.jpg,ALTO_7.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-18,15,8,4,vw-1891-01-18-15-004.jpg,ALTO_8.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-18,15,8,8,vw-1891-01-18-15-008.jpg,ALTO_9.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-18,15,8,11,vw-1891-01-18-15-011.jpg,ALTO_10.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-18,15,8,12,vw-1891-01-18-15-012.jpg,ALTO_11.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-25,21,8,4,vw-1891-01-25-21-004.jpg,ALTO_12.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-25,21,8,7,vw-1891-01-25-21-007.jpg,ALTO_13.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-25,21,8,8,vw-1891-01-25-21-008.jpg,ALTO_14.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-01-25,21,8,12,vw-1891-01-25-21-012.jpg,ALTO_15.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-02-01,27,8,4,vw-1891-02-01-27-004.jpg,ALTO_16.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-02-01,27,8,8,vw-1891-02-01-27-008.jpg,ALTO_17.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-02-01,27,8,10,vw-1891-02-01-27-010.jpg,ALTO_18.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-02-08,33,8,4,vw-1891-02-08-33-004.jpg,ALTO_19.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-02-08,33,8,8,vw-1891-02-08-33-008.jpg,ALTO_20.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-02-08,33,8,10,vw-1891-02-08-33-010.jpg,ALTO_21.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-02-15,39,8,4,vw-1891-02-15-39-004.jpg,ALTO_22.xml
Vorwärts – Berliner Volksblatt – Zentralorgan der Sozialdemokratischen Partei Deutschlands,1891-02-15,39,8,8,vw-1891-02-15-39-008.jpg,ALTO_23.xml
